input_file,workload_class,pipeline_label,budget_label,max_workers,selected_regime,selected_workers,selected_chunks,selected_policy,predicted_e2e_time,measured_serial_time,predicted_speedup,predicted_efficiency
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,w<=8,8,parallel,4,4,equal-duration,3.029499,7.680256,2.5352,0.6338
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,unconstrained,,parallel,4,4,equal-duration,3.029499,7.680256,2.5352,0.6338
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,8.070485,13.103275,1.6236,0.8118
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,5.022459,13.103275,2.6089,0.6522
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,4,4,equal-duration,5.022459,13.103275,2.6089,0.6522
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,4,4,equal-duration,5.022459,13.103275,2.6089,0.6522
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,heuristic-adaptive,2.57604,4.113122,1.5967,0.7983
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,1.708877,4.113122,2.4069,0.6017
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=8,8,parallel,8,8,equal-duration,1.371299,4.113122,2.9994,0.3749
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,unconstrained,,parallel,8,8,equal-duration,1.371299,4.113122,2.9994,0.3749
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,6.733747,11.247415,1.6703,0.8352
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,4.25146,11.247415,2.6455,0.6614
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=8,8,parallel,8,8,heuristic-adaptive,3.10632,11.247415,3.6208,0.4526
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,unconstrained,,parallel,8,8,equal-duration,3.10632,11.247415,3.6208,0.4526
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,heuristic-adaptive,11.304225,19.089991,1.6887,0.8444
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,7.046466,19.089991,2.7092,0.6773
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,8,8,rate-adjusted,5.01359,19.089991,3.8076,0.476
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,8,8,rate-adjusted,5.013592,19.089991,3.8076,0.476
