input_file,workload_class,pipeline_label,budget_label,max_workers,selected_regime,selected_workers,selected_chunks,selected_policy,predicted_e2e_time,measured_serial_time,predicted_speedup,predicted_efficiency
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,1.739869,2.639446,1.517,0.7585
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,1.177003,2.639446,2.2425,0.5606
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,w<=8,8,parallel,4,4,equal-duration,1.177003,2.639446,2.2425,0.5606
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,vision-enhancement,unconstrained,,parallel,4,4,equal-duration,1.177003,2.639446,2.2425,0.5606
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,3.768305,5.992232,1.5902,0.7951
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,2.409152,5.992232,2.4873,0.6218
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,4,4,equal-duration,2.409151,5.992232,2.4873,0.6218
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,4,4,equal-duration,2.409151,5.992232,2.4873,0.6218
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,heuristic-adaptive,1.633338,2.49552,1.5279,0.7639
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,1.132382,2.49552,2.2038,0.5509
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,w<=8,8,parallel,8,8,equal-duration,0.977909,2.49552,2.5519,0.319
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,inference-normalization,unconstrained,,parallel,8,8,equal-duration,0.977908,2.49552,2.5519,0.319
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,2.722753,4.36487,1.6031,0.8016
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,1.798598,4.36487,2.4268,0.6067
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,w<=8,8,parallel,8,8,equal-duration,1.432524,4.36487,3.047,0.3809
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,vision-enhancement,unconstrained,,parallel,8,8,equal-duration,1.432524,4.36487,3.047,0.3809
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,5.879418,9.781454,1.6637,0.8318
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,3.729008,9.781454,2.6231,0.6558
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,8,8,equal-duration,2.749814,9.781454,3.5571,0.4446
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,8,8,equal-duration,2.749807,9.781454,3.5571,0.4446
