input_file,workload_class,trial,content_class,duration_label,selected_regime,selected_label,adaptive_runtime,best_default_baseline,best_default_runtime,selector_vs_default_margin,adaptive_beneficial,T_metadata,T_features,T_scheduler,T_decide,T_execute,rho
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,2,scene-cut-heavy,12s,parallel,static-equal,1.568227,serial,1.425724,-0.099951,False,0.071325,0.401557,0.002708,0.47559,1.568227,0.303266
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,3,scene-cut-heavy,12s,parallel,static-equal,1.566064,serial,1.41747,-0.10483,False,0.071168,0.411269,0.00226,0.484698,1.566064,0.309501
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,1,scene-cut-heavy,12s,parallel,static-equal,2.625188,static-equal,2.6339,0.003308,True,0.072272,0.410286,0.002475,0.485033,2.625188,0.184761
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,2,scene-cut-heavy,12s,parallel,static-equal,2.653703,serial,2.610596,-0.016512,False,0.071687,0.403656,0.00207,0.477413,2.653703,0.179904
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,3,scene-cut-heavy,12s,parallel,static-equal,2.621511,static-equal,2.615698,-0.002222,False,0.072663,0.403904,0.00219,0.478757,2.621511,0.182627
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,1,medium-to-high-motion,30s,parallel,adaptive-searched,5.691782,static-equal,5.575906,-0.020782,False,0.068438,0.492289,0.000896,0.561622,5.691782,0.098672
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,2,medium-to-high-motion,30s,parallel,adaptive-searched,5.7584,static-equal,5.606911,-0.027018,False,0.066543,0.489294,0.000824,0.556661,5.7584,0.096669
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,3,medium-to-high-motion,30s,parallel,adaptive-searched,5.750343,static-equal,5.495602,-0.046353,False,0.066325,0.499475,0.000889,0.566688,5.750343,0.098549
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,1,medium-to-high-motion,30s,parallel,static-equal,2.221291,static-equal,1.801291,-0.233166,False,0.066767,0.495658,0.004156,0.566581,2.221291,0.255069
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,2,medium-to-high-motion,30s,parallel,static-equal,2.087641,static-equal,1.793351,-0.164101,False,0.065496,0.475504,0.004093,0.545093,2.087641,0.261105
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,3,medium-to-high-motion,30s,parallel,static-equal,2.112378,static-equal,1.788576,-0.181039,False,0.066318,0.489852,0.004753,0.560923,2.112378,0.265541
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,1,medium-to-high-motion,30s,parallel,static-equal,3.656626,static-equal,3.137865,-0.165323,False,0.064706,0.471711,0.000854,0.53727,3.656626,0.146931
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,2,medium-to-high-motion,30s,parallel,static-equal,3.584999,static-equal,3.287134,-0.090615,False,0.066557,0.489982,0.000812,0.55735,3.584999,0.155467
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,3,medium-to-high-motion,30s,parallel,static-equal,3.630181,static-equal,3.331144,-0.08977,False,0.066085,0.498394,0.004461,0.56894,3.630181,0.156725
